"id","SEX","AGE","PREFECTURE","JOB","一人暮らし","配偶者","家族","朝食の頻度","日食の頻度","外朝食の頻度","外日食の頻度","内朝食の頻度","内日食の頻度","作朝食の頻度","作日食の頻度","料理人","購入人"
9731,2,27,32,0,0,1,0,4.5,8,1.5,1.5,NA,8,NA,8,"自分","自分"
9732,1,42,11,0,1,0,0,8,8,3.75,3.75,8,5,2,5,"自分","自分"
9733,2,50,23,0,0,1,0,8,8,3,3,8,6.75,7,6.25,"自分","自分"
9734,2,42,1,0,0,0,1,8,8,2.25,2.25,6.5,6.5,6.5,6.5,"自分","自分"
9735,1,23,13,0,0,0,1,6.5,6.5,3.25,3.25,8,6.25,6.5,NA,"家族","家族"
9736,1,58,33,0,0,1,1,6.5,6.5,1.75,1.75,6.5,4.75,1,NA,NA,NA
9737,2,23,10,0,0,0,1,8,8,4.25,4.25,8,6.5,2,2,"家族","家族"
9738,2,28,14,0,0,0,1,6,6.5,2.5,2.5,6,4.75,2,3,"家族","家族"
9739,2,61,2,0,0,1,0,8,8,3.5,3.5,8,5.75,8,8,"自分","自分"
9740,2,52,43,0,0,1,0,1,8,2,2,NA,8,NA,8,"自分","自分"
9741,2,64,13,0,0,1,1,8,8,2.25,2.25,8,8,2,8,"自分","自分"
9742,1,40,6,0,0,1,1,8,8,1,1,8,7.5,2.5,2.75,"配偶者","配偶者"
9743,1,42,13,0,0,0,1,8,8,4,4,8,8,7.5,7.5,"自分","自分"
9744,2,45,24,0,0,1,0,6.5,6.5,1.5,1.5,6.5,6.5,6.5,6.5,"配偶者","配偶者"
9745,2,57,28,0,0,1,0,3,8,1,1,NA,8,NA,5.5,"自分","自分"
9746,2,46,18,0,1,0,0,6.5,6.5,1.5,1.5,6.5,6.5,6.5,6.5,"自分","自分"
9747,2,33,9,0,0,1,0,8,8,3.5,3.5,8,8,6.5,6.25,"自分","自分"
9748,2,47,14,0,0,0,1,8,8,2,2,8,8,6.5,6.25,"家族","家族"
9749,1,48,27,0,0,1,1,6.5,6.5,4.25,4.25,6.5,5,3,3.75,"配偶者","配偶者"
9750,1,36,39,0,1,0,0,1,6.25,NA,NA,NA,NA,NA,NA,"自分","自分"
9751,1,36,15,0,0,1,1,8,8,2,2,1,3.5,NA,1,NA,NA
9752,1,47,14,0,0,1,1,8,8,3.75,3.75,5.5,4.25,2,3,"配偶者","配偶者"
9753,1,46,22,0,0,0,1,8,8,2,2,8,8,2,3,"家族","家族"
9754,1,44,1,0,0,1,1,6.5,6.5,4,4,6.5,4.5,2,2,"配偶者","配偶者"
9755,1,37,11,0,1,0,0,1,8,2,2,NA,6.5,NA,2,"自分","自分"
9756,1,28,28,0,0,0,1,8,8,2,2,8,6.25,1,NA,"家族","家族"
9757,1,50,46,0,1,0,0,1,8,5.75,5.75,NA,4.75,NA,NA,"自分","自分"
9758,2,48,23,0,0,1,1,8,8,3,3,8,8,8,8,"自分","自分"
9759,2,36,22,0,0,1,1,8,8,2.25,2.25,8,8,8,8,"自分","自分"
9760,2,35,11,0,1,0,0,6.5,6.5,3.25,3.25,6.5,4.25,2,3.5,"自分","自分"
9761,2,59,23,0,0,1,1,8,8,3,3,8,8,8,7.75,"自分","自分"
9762,1,44,14,0,0,1,1,6.5,6.5,1.75,1.75,6.5,6.5,2,1,NA,NA
9763,1,28,13,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA
9764,1,55,2,0,0,1,1,3.5,5.75,NA,NA,NA,NA,NA,NA,NA,NA
9765,1,41,44,0,0,0,1,8,8,2.25,2.25,8,8,1,1,NA,NA
9766,2,43,27,0,0,1,1,8,8,2.25,2.25,8,8,8,8,"自分","自分"
9767,1,37,14,0,0,1,0,6.5,6.75,5,5,7,6,6,5.75,"自分","自分"
9768,2,61,40,0,0,1,0,8,8,8,8,8,8,8,8,"自分","自分"
9769,2,46,14,0,0,1,0,6.5,6.5,2.75,2.75,1.5,4.5,NA,4.75,"自分","自分"
9770,2,59,33,0,0,1,1,8,8,2.75,2.75,8,6.25,8,NA,"自分","自分"
9771,2,56,40,0,0,1,0,8,8,1,1,8,8,8,8,"自分","自分"
9772,2,40,23,0,0,1,1,7.5,7.5,4.75,4.75,8,6.25,7.5,6.25,"自分","自分"
9773,1,44,40,0,0,1,1,6,6.5,4.25,4.25,6,4.25,6,4,"配偶者","配偶者"
9774,2,50,13,0,0,1,1,6.5,6.5,2.25,2.25,6.5,6.5,6.5,6.5,"自分","自分"
9775,2,52,14,0,0,1,1,8,8,3.75,3.75,8,6.75,8,6.75,"自分","自分"
9776,1,41,41,0,0,0,1,8,8,1,1,8,8,1,1,NA,NA
9777,2,59,8,0,0,1,1,5,5.5,1.75,1.75,5,5.5,5,5.5,"自分","自分"
9778,2,43,27,0,0,1,1,8,8,2,2,8,7.25,3.5,4.75,"自分","自分"
9779,2,35,26,0,0,1,1,8,8,2.25,2.25,8,8,8,7.5,"自分","自分"
9780,2,44,9,0,0,1,0,6.5,6.5,2,2,6,4.75,1,NA,"自分","自分"
9781,1,49,42,0,0,1,0,8,8,2,2,8,6.5,2,2,"配偶者","配偶者"
9782,1,28,46,0,1,0,0,8,8,1,1,8,8,2,5,"自分","自分"
9783,1,62,13,0,0,1,0,8,8,2,2,8,8,2.5,2.5,"配偶者","配偶者"
9784,1,58,12,0,1,0,0,6.5,6.5,4.5,4.5,8,5,1,1.5,"自分","自分"
9785,1,40,14,0,0,1,1,1,6.5,4.25,4.25,NA,4.25,NA,2.5,"配偶者","配偶者"
9786,2,41,34,0,0,1,1,3.5,6.5,3,3,NA,8,NA,8,"自分","自分"
9787,2,56,21,0,0,0,1,5.5,6.5,2,2,4,5.5,4,4.5,"自分","自分"
9788,2,54,39,0,0,1,0,8,8,2.5,2.5,8,5.25,6.5,6.25,"自分","自分"
9789,1,21,14,1,0,0,1,1,8,1,1,NA,5.75,NA,NA,NA,NA
9790,2,41,1,0,0,0,1,7,7,2.5,2.5,7.5,7.5,8,8,"自分","自分"
9791,1,29,23,0,0,0,1,6,8,1,1,6,8,1,1.25,NA,NA
9792,1,43,33,0,0,1,0,6,6,4.5,4.5,6,5.75,5.5,2.5,"配偶者","配偶者"
9793,1,50,3,0,0,1,1,6.5,6.5,3,3,6.5,6.5,1,1,NA,NA
